sentence,emotion
not feel rejected abandoned speaks volumes expansion self worth,1
feeling regretful apologise,1
feeling much love mother appreciate done,0
dam noticed feel little crouch,1
feel contented relieving scene mind,0
think one asset makes guns stand bands musicianship especially note latest record hits next level feel accepted many genius especially hardware scene,0
imagine woman breast clinic feeling unfortunate something like happen,1
tried answer generally could struggling work lately feeling pretty morose,1
may feel relieved satisfied probably not fun,0
feel like way would less gathered,1
not help feeling ugly,1
questioned wondering not feel jubilant,0
may recurrent feeling generous lengthy series history celebrity crushed,0
old enough granulation feels like yesterday find bit stunned,0
wonder alone note fact able identify destruction behavior yet feel doomed repeat,1
small people think feel amazing bathing suit,0
father children killed accident,1
feel bad anyone ever watch game,1
want feel year long lovely warm tingle october brings,0
feel stubborn strong ready fight disease,1
feel cold said rachel,1
little movie star tears come way feel not relieved,0
mother though days still feels strange realize one,0
feel little jealous people sitting note coffee shop leisurely like note morning,1
feel like devoted many things time split wildly,0
angry headspace senses voice singing jove making feel horny hell,0
mention that feeling cranks,1
wonderful mother law every way like mother years often than not end feeling bit melancholy mother day,1
not sure feel hi yet seemed kind distracted decided wed hi end week prove us,1
know long time feel pathetic feel way,1
definitely feeling change refusing feel impatient,1
posted feeling like super mon managed care children fiance house one day working little sleep,0
feel worthless letting happen,1
bit comfort zone feeling apprehensive,1
feel like smell pretty use,0
feel like total pushover moment anyone knows knows not pushover generous willing benefit doubt not pushover,0
could sense uncomfortable came deliver letter willing attribute hi feeling weird romantic vulnerable,1
no longer feel happy score well,0
feeling comfortable note water,0
feel poles useful pairs price states review two poles,0
grand plans baking two days mostly ended curled note couch pouting not feeling well,0
could not bring blow right away mostly feel absolutely humiliated heart broken,1
feel pained people making kind statement,1
feel like paranoid annoyance reality would talked anyone way,1
saw family separation one year,0
feel frustrated impatient,1
left place feeling heartbroken,1
feel bit devastated really thought bee relationship would worth,1
feel saying things not want agree rude,1
really went cut feel unfortunate broken hearted,1
feel quite mad,1
trying catch bus explained feeling bit dumb,1
not feel like shy much taking mother described,1
really feel amazed,0
believe luck luck not side feel beaten sometimes upset,1
feeling really ok,0
got chat rustle dean hometown loose jaw everyone made feel welcomed comfortable,0
actually feel like everything going ok,0
feeling envious pregnant co workers,1
pub instead stayed home feeling morose depressed,1
stay awake whole night feeling energetic stuff,0
not help feel sorry,1
feel fooled played relieved,0
feel cunningly elegant tonight darling,0
feel lame not help shake fear feel like failing samuel afraid,1
woke feeling distraught aware something terrible happen soon,1
however feel tinge regret know damaged abilities breast feed,1
feel feeling not quite beloved brother,0
still feeling bit stunned experience tonight watching movie,0
look forward continuing challenge feel appreciate boost get nutrition healthy track especially pregnancy important time life eating healthy,0
decided eyes real strong feeling whether love extremely daring not friends eventually blow face,0
love slight cat eye shape lenses instantly make feel likeaudrey hepburn breakfast tiffanys amorous course gorgeous case not hurt either,0
stop learning feeling inhabited performance founders,1
feel wronged luckily managed control not complain talk bad friend either online facebook office person,1
get feeling weep sometimes get resentful,1
not want leave not thanked parents trusting spend night made feel like respected,0
listen not feel peaceful happy could not use big dose lives,0
amos beautiful job retrofitting cohens song really basic arrangement piano work feels like artistic effort merely paying homage,0
feel classroom extremely dangerous,1
start gallery feeling vain gorgeous time,1
need find way get yet feel hopeless,1
end getting unwanted attention boys want little ill sort starting something boy find flirting others presence ill feel really insincere around boys like,1
read several pages still feel ensure feel wasted time ca not engage main argument,1
feel though rest year jaded due love first,1
friend sometime feel insulted around,1
feel inhabited practice public sessions compared lessons ice time good ice time,1
fall victim feeling inadequate anywhere short perfection set expectations peace expectations others,1
feel tortured em poetry coming already,1
wanted feel special guests ali enemy chose,0
feeling overwhelmed daily responsibilities expectations family job demands time physical tiredness feeling burdens overtake financial hardships,0
used still makes feel empty,1
feeling strangely indecision also not really believe,1
often notices feel lost friends seem leave us move away,1
want write makes feel frantic induced nighttime speed,1
love long summer evenings shoot clock not feel pressure short daylight hours winter provides,1
admit thoughts go head feel doubtful times co scared,1
feel drained yet excited new journey,1
feeling eager leap smash fabric make something,0
need feel like accepted matter loved,0
feel absolutely safe,0
feel honoured luckily get post cards,0
feel terrible snapped,1
went lecture canceled,1
feel spitting somebody vicious kind disrespect said,1
truly feel irate,1
began not feel curious tried peace beneath pride,0
feeling satisfied performance car,0
overwhelmed feeling impressed think kiss years younger call kiss right,0
drank cup coffee feel nervous weird,1
got really trunk situation feel like write calm,0
focus note injustice anger rises feel frustrated know cannot change things,1
feel awful not working summer finally going able get real rest put feet,1
feel ca not take sequel either restless leg syndrome keeps awake night,1
feeling hopeful seems like good time switch doctors,0
really not count number times cried feeling overwhelmed someone expression concern fact thinking,1
feeling month going damn cool things store,0
feel blessed privileged known loved know always child,0
like feeling devastated,1
struggled come interesting title blogpost lipbalms feel people would consider boring subject,1
feeling homesick good reminder blessed really,1
realise sounding surprisingly like every person this site wish liked mud wresting something bit outrageous feel rather dull dare say average,1
feelings amazed imagining would feel get,0
feel ungrateful complaining also feel created sitting quietly,1
ask folks park feel smart park inches separating car one front behind,0
present two photo side side one photo remember feeling cut day,0
feeling could answer stupid questions,1
feel answered questions pretty trusting part,0
vocal feel think convinced not let anyone walk let opinion not matter,0
heard feeling many times discussed uncertain future many people conversations blending together,1
prodded taking far long feeling rather virtuous,0
feel like really gentle hand note recording process,0
come back programme three girls staying another girls place one started passing nasty outright bitch remarks brought male colleagues compliments,1
feel poisoned tortured room,1
feel like finally position not decide whether indulge joyful jubilations clay free chocolate bar,0
suck lot keeping house clean yet feel twitch mess,1
sure organisation themselves best intentions though disagree whole heartily get feeling demonstrator slightly hostile students,1
not know feel hearts aching sadness loss good kind people connected losses http,1
feel like mention that not fond damn shapeshifter note first place,0
feeling smell not going pleasant,0
feel like ought working casual activist construed something potentially distressful not update tomorrow,0
not sure buy hobby feeling pretty impressed,0
must feeling little cranks,1
get lucky often nothing work benefit time feel accept unfortunate,1
really feel least talented person note stage somehow god uses talent glory,0
feel not resolved soon enough damaging effect hard work girlfriend put relationship,0
feel rich indeed,0
feel heartbroken mostly daughter adjust new daycare center,1
guess good news feel calm think needed get chest,0
busy bask fabulous overwhelming feeling really nothing li life cat would daring sleeping eating,0
feel bitch talking way ahahah sound less retarded telling story person swear said boy would fall love,1
feel things learn course useful right,0
remember feeling calmed ease eve though minutes good light felt confidence determination not get best possible shots made difference note world,0
never feel tucked week used feel great actually thinking wonderful time weekend ing sac http israel,1
feel hateful given friendship woman couple others reasons admit defeat let husband make feel insecure feel need avoid cut life securities not challenged,1
feel dull easily difference rule absolutely no ca not several return quick easy casserole fantastic relating group meals local hall pitch picnic address luncheon etc,1
not want feel slut,0
feel sorry seeing parents,1
wistful gaining feeling responsibility planning event well commitment,0
enjoyed feeling belonging sense recognised somehow valuable,0
honestly say every good thing life right crashing feel stubborn not ask help,1
tired feel fabulous breaking proud moment continuing push train get far comfort zone,0
actually feel hopeful today,0
thought exhausted emotions held frustration confusion still much much feel look blank white piece paper want fill colours motion still seems blank,1
feel like job worth daring would not shift,0
feel touch sweet hand,0
understand extremely position attributes overshadowed weakness unconsciously people wired feel superior others thereby treat differently,0
feel not heartless heart hurts still feel feel much pain,1
especially interested hearing thoughts perspective read men women feel respected lived,0
feel like held back lot summer soccer mon not trusting,0
remember feeling surprised option not listen,0
feel rejected must not measure,1
feel like house constantly dirty truly hate cleaning especially tired,1
leave nursing home week feeling joyful ready come back,0
feel agitated sort lost,1
still contractions feeling slightly defeated,1
know feel personally offended many levels,1
highly doubt would see young jean scott considering would limited no reason not actors future moves since announce moving not ana note next feature feels like missed opportunity,1
going go anti dance flow feel eager since ill note mat anyhow might even circuits grow spine,0
feel love yesterday brought tears eyes hear hi say today realize special surrounded love,0
serious question feel ok support healthcare plan that trampled another beliefs,0
not explain truly feel words encapsulated ness currently ecstatic happy bounty relieved exercised mood dance wanting chocolate wanting socialist right smile lose words express bah em,0
feel rejected someone part rejecting,1
feel socially anxious around ladies,1
watched firmly serenity lately id given mixed feelings seems quite popular,0
feeling sentimental going miss college thrilled new coming adventure,1
chinese sum chinese sisters spent two important years life china someone knows conversation like one feel pretty hopeless power education,1
not try put light going feel fester grow bitter dark,1
feel mon despised much done,1
feel helps create rich texture touch mystery outfit,0
feeling strong healthy motivate overall position everything,0
feel unimportant today,1
not feel agitated part thinks finally managed keep emotions check,1
not know feeling pretty punished right,1
feel completely empty detached depressed,1
not able squeeze re not weeks feeling really cranks lethargy,1
think told dad feels skeptically us,1
feel someone wronged feel wronged get ruled action find offense unsheathed sword good lord better look,1
woke emotional drained anxious immediately defense rise feel irritated story life,1
achieved specific athletic goal feel pretty fine form,0
think men maybe feel expect get rejected time men might act like call shots women definitely,1
cannot thank enough always finding way make feel better,0
feeling delighted bigger definition magic,0
feeling overwhelmed,0
thought later feeling anxious worried,1
get little twitch feel like someone depending lawless job done note end,0
feel one trail without totally punished,1
friend made yuri feel special,0
feel like assaulted titanic hedgehog,1
feel dazed alone note end,0
hate feeling despised detested someone truly care completely love,1
remember someone could feel comfortable around,0
feel discouraged,1
thought feel scared somewhat trepidation nervous sad,1
feeling shy feeling mad feeling sad,1
not feeling insulted idiocy felt supreme bored actually wound fastforwarding scenes,1
feel blessed free,0
feel determined ever not,0
must ask column makes feel hateful keep logging,1
empowering some truly feel intelligent sex enough,0
dislike feeling needy,1
thinking back feeling utterly amazed grateful li time four people needed family could find despite thousands miles apart,0
feel unhappy even,1
feel like rushed weekend,1
feel like punished years meaning drama,1
feel impressed,0
not know feels like love starting get scared not actually love,1
need money cause owe sooooo many people money not pay back without feeling guilty taking money dad,1
simply not feel like learning unimportant stuff,1
feel like not alone,1
ca not help feeling jealous,1
feeling bit gloomy today weather got no money get note tube go anywhere pretty like columbia road,1
also feeling gorgeous nail day coming connection three soaked pale god face brownish watch coming soon,0
could feel tremors coming started get real shake,1
resent people shaking telling feel products alternate facts let think,0
feeling pretty triumphant held little conversation cashier not realize deaf,0
feeling route talking,1
mention this one not feel face,1
could feel love joy pride looked two sweet little faces,0
feel bit annoyed ants good way,1
try buy fabric would use project feel really far,0
go friends feels inadequate,1
hurting feel like friends no longer supporting struggling,0
know feel useless nasty feeling,1
not sleep still waking help get sleep quicker feel like going deeper relaxed sleep,0
always feel quite smart wearing,0
feel sure new necklace come afternoon beach coming,0
feel feel reluctant,1
feeling naughty like add little bourbon,0
feel relaxed comfortable,0
still feel fine ca tell getting weaker,0
feel confused not stop digging bit,1
postponing feeling virtuous labor,0
ate feeling hateful towards number,1
not sure anyone understand feel toward almost feel like one troubled tens often mary,1
believe sincere parts see notice again that loan probably feels much devoted,0
afraid feeling helpless,1
not think angry tying away feeling words elaborate cyberspace passed happening,1
go presence praying wisdom patience feel instantly furious,1
feeling generous ahahahaha morbid funny,0
wish feel tender bites,0
feel jaded stem sigh,1
often find hostile environment leaves feel damaged blossoms die note vine,1
murakami first feel captures makes hi beloved fan,0
feel homesick nostalgia ganglia,1
want something personalized appreciate least feel real sincere giving,0
enjoy aspects life hard times not feel completely overwhelmed,0
feel like child got one lick delicious lollypop ever,0
not feel offended especially crazy motorcyclist getting ground like nothing happened bears no resemblance anyone north,1
feel like running circles terrified,1
not feeling irritated,1
feel like thing call artistic tendency really laziness narcissism justifying strengthening,0
guess sad feel alone,1
huge fan london grammar disclosure eyes perfect collaboration definitely helps make feel creative,0
feel person broke stole gift represents nice memory turning something not nice,1
feel like warned brothers tucked final edit even better film arriving director cut format blue ray,1
feeling bit scared consider putting posting work webster frequented professional artists decided suck big girl ask feedback,1
understand mother feel bad not help way wants still trying help,1
not supposed not let happen could feel hurt move supposed,1
suddenly feel desire press face window silently scream like doomed urbanity one myriads disaster moves always take place new york,1
feel really disgusted note pain agony,1
hope one day feel strong optimism right life,0
feeling vulnerable worrying publishing world not like stories wo not like next one write,1
also always afraid cold pool realized actually not feel cold laws,1
consider social political duty defend worn world unravel around company sex industry workers feel doomed inevitable fate worn personnel,1
want feel distracted need remind working towards,1
ate great even better feel terrific,0
feeling particularly disheartened unmotivated today,1
started feel uncomfortable buzz short breath mildly panic,1
feel protected though,1
feel lot confident path chosen,0
know feel mild hated since day,1
feel blessed year daughter family us sister california coming year,0
sat silent open mouthed rattled reasons loved special times shared confirmed feelings amazed reasons times together made realize much loved,0
get little gripped timing feel frantic thoughts,1
still feel innocent small,0
took several deep breath feeling cold air burn way lungs healing little clouds vapor,1
feel like continue bridge lessons since continuity going vital dear game,0
feel delighted share,0
feel like gone bit dull agree beauty real friends tell stupid,1
feel amorous little lay bottoms tiny g string underneath,0
talked telling sometimes feel not sincere,0
returned home feeling invigorated wanting,0
know not upset not feel melancholy eating away inside leaving tears eyes ache heart,1
simply not want makes mad want able share things feel like emotional far apart makes mad makes unable go,1
planning make colonies evening not feeling good tomorrow,0
incredibly youthful employment angry stay feeling offended simply not professional decided,1
also feel welcomed lush job,0
feel irritable unfulfilled not paint several days,1
still feeling passionate progress motivate no longer trying everything anything never done,0
feel not giving christ want devoted,0
feel like babysitter year old act like naughty year old,0
feel sort dazed cross eyed,0
would left exam feeling humiliated reevaluating everything know,1
wanting look makes people feel ok ask questions,0
feel honored part year,0
picked moved czech republic chris sent care package food music remind home feeling homesick,1
feel really popular note underground get thank god looking toy tune,0
feel strange bending bed wardrobe using little decade,1
feel ecstatic relived bottom heart truly grateful,0
exercising running still feels tender even almost like throbbing,0
feel confident today front nine,0
internet cafe kiss feel neglectful blow chronic,1
quit screw everyone note frame shop would not feel bad besides british,1
feel like important keep nothing critical look ideas like make sure stay grounded reality,0
never feel resistant timid,1
feel elegant marvelous irresistible frock endure discomfort,0
not know anyone feel helpless confused angry tired,1
lost g feeling far,0
transferred operating bed began not feel little apprehensive,1
feel not anything contribute conversation books writing boring shallow bank,1
hope not deeply offend anyone maybe know feel years faithful catholic told going hell anyway note privacy home,0
feel badly know suffering complain cold nonsense would gladly anything could help fix problems,1
remember feeling falling miyavi shocked face,0
suddenly feeling energetic,0
not fair xiv way feels frightened work fault,1
feel like ecstatic feel joy feel love particularly devotees come mood also eagerly moving moving moving said andre visitor abroad,0
feel bad enough,1
leaned head back took deep breath awful feeling awful making sick,1
look like someone not like care way different friends feel unimportant like no one cares,1
often feel real gloomy always another large government program note horizon freedom consistently contracted wallet differed benefit fat cat corporate bankers public continues vote note politicians steal us every day,1
feel like feel guilty treating badly not really want go back not get note league proper anyway due inability make every practice service hours despite good slater good attitude toward practices make,1
feel bit fearful might feeling stressed drinking much,1
not know feel mellow normal good,0
hope makes friends feels welcomed,0
not want accept inevitable become grumpy old men women age not want accept feeling irritated annoyed trivial little things normal,1
answered feeling rather skeptically,1
not feeling particularly bitter birthday fact fantastic day,1
feel satisfied eat feel full longer not feel like smacking later,0
miss way made feel point accepted betrayed never go back,0
feel content without knowing rest story,0
really feel irritated,1
feel like bitter old lady long life not deal anymore,1
feeling little disappointed little hair improved sickness lingering,1
feeling bit lonely without comments respond c,1
feel lame complaining minutes get flurry visit take easy rest day,1
feel rushed get ready tomorrow,1
feel strongly supporting hence running mile,0
remember feeling embarrassed not someone recognized called name,1
sat dave tell first trying not feel rude guns eating,1
feel solemn duty share divine knowledge mine order others may benefit truth beauty render world closer thearchitecturality utopian perfectly set garage society strive,0
still not really feel like kind hated pictures soon glad took,1
used feel guilty large portion notice income devoted various craft hobbies eventually realised stress bursting cheaper therapy,1
admit note past done lot time coffin feeling superior christians,0
love kardashion make tutorials always feel amorous make,0
feel glad justice served west said,0
feel relieved finally move without single tear shed,0
want say things want say without feeling embarrassed making people upset,1
feel like back element pleased surrounded adorable tiny garments,0
already feeling exhausted matter survival point onwards,1
feel pain came school still aching,1
feel like tyranny lot time title blame lively feels like tyranny http www,0
great feelings fear trepidation that children abused know statistics,1
feeling invigorated ready ahead excited share information,0
feel not threatened idea daring care far often,1
not feel anything special,0
feeling little dissatisfied pictures last couple months,1
feel like perfect person trust not want perfect,0
feel humiliated not want face world,1
not expect feel disheartened departure really really,1
adjust feels strange,0
remember feeling excited particular day considered grown wood,0
feel entirely free express way feel surroundings life myriads experiences continue make,0
could prepare bunch dishes made note safety control home least feel safe prepared,0
capable late feeling pretty bitter depressed not lot gratitude general,1
feeling strong ready,0
really feel like wading dangerous waters think diploe really important,1
feel truthful usual days,0
mean every time negative thought feeling reaction going consciously replace position one,0
feeling felt tonight,0
also feel helped become intelligent individual,0
watch silently feeling dazed memory loss,0
feel regretful bad called,1
feel blessed mon,0
feel really teaching students get lovely finished pieces,0
get feeling amused,0
feel listless defeated,1
secretary called ran landed dublin much surprise found permanent job chance feel homesick head back holyhead,1
sit not author letter feel little surprised entire year already passed us,0
always plant big section lecture leave open sky bundles feel rebellious raising garden,1
lagging feeling tucked everything note first try,1
feel watching romantic moves,0
feel complacent experiences program even sometimes find concepts done big drags still no room scrutiny,0
feel still angry,1
feel cold days,1
look around people around feel almost slightly envious way motivation sitting studying hard,1
ca not help feel little resistant towards lily,1
ill feel less burdened confused sighs,1
would smiled except starting feel like upright comments jaw would fall right head,1
stopped feeling clever felt no memory done,0
frustrated not walk around floating air seeing good every sidewalk pothole trip beating feeling ensure scared,1
feel one everything meet even return not body beloved father indeed beginning realize meaning earthly love sought long,0
like feel working puzzled helps hi improve fine motor skill reaches hi follow set instructions order make something,0
feeling manipulated wronged though lucy charlie brown,1
feeling oh low,1
love lie earle moisturizer really leave skin feeling lovely think purchase lighter version next time,0
start feel benefit extremely boring,1
recall feelings time colour whilst laying bed day funny calling speaking everyday,0
feel listless,1
not felt much like talking nothing bad not feeling social ways,0
not feeling outdoing no mood put game face smooth,0
feel empty not something care,1
still feel like kid eager blow candle open gifts good stuff,0
love look black feel like would smart choice kind draw not rich blue grayish blue,0
feeling pretty happy,1
feel like important vote local stuff,0
random talking found feeling would listened quite eager watch show,0
feeling little bit anxious late far relations lack thereof ward investigator go excited able ponder note temple see come plan lords help,1
feel virtuous seconds reflect spend something went swimming pool working towards personal fitness yes,0
not tell words much feel honored photo made gallery,0
not sure feeling slightly wronged police sheriff tea always bad thing,1
feeling carefree wanted go fun,0
think feel gratitude think kind gracious heavenly father,0
actually feel like completely submission one,1
think going go play larry feel awkward singing instead admitted,1
apologize pp dragged along see feel ashamed ing sac emotions smile embarrassed,1
feel job hi tools needs successful person,0
truly feel disillusioned world years believing helping others getting immense joy,1
feeling gloomy,1
still feeling indecision polling p,1
feel horribly insecure,1
hard core problems tell people feel sympathetic consequently feel obliged try help,0
feel divine strong,0
hope feeling fine well anna say happy birthday realize dreams always happy perfect person deserves best,0
feel inner conflict sense duty desire play not entertained thoughts sex,0
feel nervous walking outside,1
felt continue feel absolutely horrible flew great distances spent money hotels naught,1
feel resentful hurts much also grateful said including disco swimming eve nothing stairs,1
figure enough radio appearances increases chance get good someday anticipation feels though doomed eternal repetition futile,1
reading rather unpleasant plane ride day not feel like reading unpleasant things skipped true entirely full reading experience come back point,1
feeling heartbroke time nothing stupid boy not worth,1
feel know well enough know not not tolerated not,0
feeling pretty homesick maine,1
ill dared feel ashamed daring flogging community,1
feel ashamed wasted years life parting wasting time,1
find loving unkind bodies makes us feel like punished something,1
feel unfortunate community little weeks evaluate solution prior drastic way stop proposal coming vote public works,1
feel inspired make christmas presents giving away,0
woke feeling position totally note mood evening feel banana shake breakfast chocolate shake dinner sunday roast tea,0
went nowhere feeling little hostile felt like not really care,1
know feel tortured reading,1
feeling distracted likewise attracted things let know things not let go waiting,1
trying better spending feel deprived,1
feel impatient final post four weeks tangible results far exciting see far philip return go terms firing smoothing,1
feel eve though baggers popular within one clue twice amount people jealous success chooses kiss butt fit triple disrespect pompous notoriety,0
starting feel bit jaded,1
feel chronic lot things said people note name progress no new ism espouse,1
told hi feeling anxious turning thirty,1
want feel much pain suffering last years,1
no longer summer vacation like school summer still feeling relaxation carefree,0
feel ok,0
came home one day discovered sister borrowed car gotten accident entire front jumper destroyed,1
feel dirty cheap talking going far,1
show partner feel afraid not feel,1
particular id feel uncomfortable even asserting ever love,1
not know feel disheartened,1
feel compassionate gentle understanding humans result trial,0
feel lot bids put work get beaten price price alone,1
feel amused hear neighbour use word mute instead much hey may becomes may may,0
wake already feeling listless leaving work early every day past week,1
feel kind embarrassed writing ladykins must gotten frozen something note swim felt like numb not thaw good miles,1
find feeling distraught getting older stressed impending responsibilities ensue generally content little bit repressed anger makes appearance instituted,1
feel absolutely amazed unfolding story life,0
not see not years spending sun filled day russie open followed dumping chinatown lemonade leafy beer garden feeling like stepped back notice labour vain brunswick street attending backward barbecue visiting edinburgh gardens russie day,1
met friends watch hockey game headed local pub called pig duke ate warmest notruffle wings not sure feel drawn lollipops delicious terrible name,0
today looking bank account morning feeling shocked,0
not feel greedy worldly things not big deal,1
worried would feel homesick,1
feeling crouch old man mentioned retail therapy great,1
feel like heartless kingdom hearts really stock character born without feelings watches enviously normal people laugh cry love feel things ca not,1
feel disheartened trust people try want get know not see think boring anything,1
feeling spiteful,1
feel weird completely nothing,0
not sure enemy feeling quite friendly later luke http blow,0
not feel position contribution innovations may still worth considering adjustment economic financial structure whole society improve labor productivity,0
feel jaded point time,1
feel inadequate shut feel cross world,1
feel loss chakotay reassured silently approached enveloped hug,0
feel strength determined motivate note lookout room,0
feel enough sleep much vital energy ever taking,0
feel quite devastated rush away sometimes,1
fascinate ebb flow water stood feeling content watching waves,0
feel lot would not accepted emotional side wanted,0
bee thinking drives not fashion pretensions donna make sound studying fashion design feel kind vital understand trying life whole,0
still feeling numb not feel chewing swallowing food,1
grieve losses feel ashamed little way essential component life well lived get tell someone jesus love,1
hate say felt tinge feeling last week watched beloved red fall camp bay devil rays,0
feel sweet pang desire adventure excitement,0
got feel actors physically talented skilled presentation acting done little no research background characters wider,0
got really tucked last night got really really really tucked loads owners bad idea bad idea feel like neurotic mess right not handle not handle not handle,1
could almost tempted carry photography together worked well feel aching back nervous system persuade remain retired wedding photographer,1
feel less keen winston churchill quote really feel less keen winston churchill quote http www,0
feel divine presence merge mine,0
feel embarrassed sometimes even international students pass not,1
group youngsters dressed fads talked foul language bus also insulted pedestrians note road impolite passengers bus,1
feel lucky nice able buy lovely resources little ones care,0
feel christmas special ever,0
would outright tell girl book feel like guns smart clever probably already formed sort idea themes ideas book wrapped around,0
wound driving hi getting butterflies like teenager kissed feeling rotten week expecting hi call,1
feel completely numb motionless lost,1
feeling fill note blank,1
get strange feeling even people friendly sort intellectual target getting rather annoying,0
feel faithful enough eyes,0
still feel regretful wish could take back every moment hours ago,1
know gay analogy feeling weep,1
feeling pretty devastated,1
feeling excited many baggers follow anxiously bearing first weeks pregnancy,0
waited line longer usual not feel impatient business delayed listened master occurring could service moment,1
feel weird much psychological safety coming noah providing money,0
feeling somewhat indecision terms alliance,1
feel team target given valuable experience feedback use construct help within studies note future,0
feel part family universe rather fearful,1
need want right feel ignored life friends busy hang fun occasionally get chance plus always seem one organizing things least partially involved,1
feel pleased resist till get next four night shifts,0
totally walking sunshine feeling lighter less burdened excess weight people quicker get note bus people would rather stand sit next reminded much work still,1
rushed everywhere family friends often left feeling drained exhausted,1
feel like deprived oxygen,1
might afraid leave house nurse public commit social engagement wear anything makes look worse already feel honor fearless friday invite newby mon readers something scars,0
mothers heart nearly stopped,1
expect feel content,0
began focus scripture good hours ago still feel like rejected woman no control feeling abandonment begun not subside,1
wish every time come away feeling invigorated inspired,0
want feel inspired note job,0
explain areas feel vital successful experience pinpoint plan not assess areas,0
feel numb asleep yet every single feeling sharp full pain,1
not eat lot bread find carbohydrates leave feeling foggy expand whistling faster say neck not jeans fit,1
feel not acceptable better would allowed meet needs students target way,0
hi teach color club holiday splendor sally happen ha thing kiss silver glitter feeling little felt tonight decided,0
feel nervous,1
feel acceptable put forth little effort today post,0
feeling irate,1
always think violent band violently feeling violent lyric musical violent,1
feel really contented listening song,0
spent expected went us last summer feel burdened work less note financial burden parents,1
shared trusted friend feeling towards another respected friend,0
feel like low life touching everyone,1
feel like house constantly mess feel like always cleaning,1
feel emotional attachment work simply not feel anyone else,1
feel like never felt lonely depressed unhappy life still smile maintain good mood school,1
bee nothing clot canal lately mixing beds together feel mellow enough deal world,0
not feeling frantic yet instead going make sleep teddy,1
feel like blank slate leads ton possibilities gets really excited,1
social dreaming things make feel melancholy,1
feel gloomy age,1
also feel stubborn,1
feel clever caution note making not quite feeling well enough provide one,0
went feeling support kind compassionate towards person not wanting lash ca not though blocked clearly experience,0
thinking post wrote earlier pulling memories brought surface tossing around head began not feel gentle tug little judge deep began not vibrated something solid,0
might feel bit proud one left wrist trillion watch made long long,0
sure oft feel ignored summer planting wedding harvesting occupied hearts hands minds,1
feel exhausted get lookout,1
feeling generous let assume former margins equal production season,0
feel corps unfortunate sad,1
feeling dangerous wimbledon width,1
pulled blanket bed really feeling rather gloomy,1
feel vulnerable yet protect,1
forge accepted allowed feel superior see peace someone worshiping progress instead realising defeating whole point process within,0
feeling really defeated reason,1
feel leadership severely damaged point take long time build back,1
feel extremely blessed lucky company believes enough let cut hours thankful readers reading say,0
trying understand feelings ignored,1
never ever thought not flogging books mainly think blow something feel passionate books,0
felt true forgiveness comes feel no longer victimized heal within,1
always negative perception asked getting pregnant miscarriage always walked away conversations feeling somewhat offended,1
wanted follow set food rules feel amazing party hard suffer consequences,0
feel lot pressure determined finish visit sister may clear conscience,0
feel overwhelmed thinking,0
feel assaulted hear radio ad,1
worked plenty yet find one leaves feeling satisfied way spent another day never get back,0
never actually felt sense suspense sprinter obviously trying build references religious programming nothing note book build suspense nothing could see made feel upright worried anxious characters,1
feel like letdown feel like allow hurt,1
home feel cold seemed arms legs,1
feel honoured humbled cos legend one still look,0
inquire incheswhyinches people relating droves feel security precious metal,0
always feels worthwhile soon step foot stadium wherever might note world feel home,0
feeling awfully irritated worried good reasons,1
feel reluctant leave,1
feel much energetic generally sleeping better wife,0
remember feeling deeply disappointed,1
sometime back another girl terms boyfriend came shout twelve midnight thought still interested note boy,1
feel loop missed clot catching,1
however tell hurt humiliated feel wonderful afterwards,0
reading old messages knight feeling sentimental tested hi back,1
gone stages nervousness sheer terror feeling relaxed excited,0
feel joyful not feeble,0
feel like garage not think thankful right hurts badly,0
feel rude take someone photo rather feel awkward asking take photo,1
expected rather sickly coronet gives nice tropical feel disappointed two,1
genuinely say bottom heart feel absolutely thankful,0
feel like want make something house mess still finishing christmas gift knitting,1
feel dumb talking feel like shiny em teenager many problems far love temporary boyfriend,1
feeling cranks today due not getting enough sleep due unexpected long outing yesterday night,1
see strong bright meet milestones weeks early feel assured gut always right,0
really love feeling scared,1
feel rewarded useful valuable anyway,0
feel disgusted embarrassed sad handled situation,1
feel simply complaining taking credits smelter know people took credits regularly sucks,1
feel sorry people work capital intense fields posted http zackmdavis,1
feel pulse lips chase dragon suck lips heart tongue wish begging part fingers translate sorrow reach inside soul angered breath mercy story no unfold,1
feeling calm luckily not shocked mind bee thinking get stand no matter outcome result,0
pray eyes read minds comprehend hearts feel not offended,1
still feeling joyful rest peace nothing nothing nothing stop,0
not feel like child yet could see giving carefree way least,0
get feeling kiss hated senior year donna,1
hang leave feeling energies happy,0
feel trace disgrace gracious man embracing bracelets,0
drove pay snack looking wearily feeling dazed happened felt confidence unusual rare,0
feel really joyful ing sac http,0
feeling sorts anxious not sure,1
healing still feeling shake times managed get finish work week,1
feeling energetic strong,0
want share feelings not want feel humiliated,1
feel deep innocent go let train always packed last time rode like years ago,0
feeling slightly optimistic,0
feel radiant morning,0
feel know god real loving feel air tight reasons notions kind sense would make blame hi misfortunes befall us fact jesus warns tribulation note world,0
not know feel boring though happy made new blow linked happywarmworld,1
heartsick feeling overlay romantic not even feel like made connections like,0
ended perfect studio walk feel aggravated yes bizarre,1
suppose magazine presenting practical tips readers editors feel need spice article order make seem not boring,1
cry feeling thirty cry dad made fun sick hata kid not happened many times good fun cry adverse situations,1
feel like entered weird universe really grateful,1
